代号,第一作者,年份,PMID,DOI,国家,受试者人群,性别,年龄均值_SD,训练水平,发育阶段,总样本量,干预组_n,对照组_n,干预组名称,对照组名称,跳跃动作类型,周期_周,频率_次每週,时长_min,触地次数,强度,地面,对照活动,CMJ是否报告,CMJ臂位,CMJ设备,CMJ单位,后测时间_周,IG前测_cm,IG后测_cm,CG前测_cm,CG后测_cm,其他结局,随机化方法,盲法,脱落率,ITT,数据来源,是否换算,提取备注
R01,Ramirez-Campillo,2015,25632706,10.1519/JSC.0000000000000665,智利,年轻男子业余足球运动员,男,CG 14.0±2.3 / PT24 14.2±2.2,>2年系统训练，无Plyo经验,青春期混合,166,PT24(54) / PT48(57),55,PT24(24h间歇) / PT48(48h间歇),CG(仅常规足球训练),跳深/栏架跳/连续跳等SSC动作,6,2,,,,,,是(CMJ),未明示(推断带臂),,cm,6,,,,,,计算机随机,未实施,,否(PP),Table,否,多Plyo组(PT24/PT48)；臂位未明示；数据需从CI/文字提取
R02,Ramirez-Campillo,2015,25789497,10.1519/JSC.0000000000000811,智利,亚精英青年男子足球运动员,男,CG 11.2±2.4 / BG 11.0±2.0 / UG 11.6±1.7,3-4年系统训练，无力量/Plyo史,青春期前-中期,54,BG(12)/UG(16)/B+UG(12),14,,,,6,2,,,,,,是(CMJA),带臂/CMJA(推断),,,,,,,,,,,,,,,多臂设计(BG/UG/B+UG)；CMJA带臂；取BG vs CG或合并
R03,Ramirez-Campillo,2015,26010692,10.1519/JSC.0000000000000864,智利,年轻男子足球俱乐部球员,男,CG 13.0±1.9 / PPT 12.8±2.8 / NPPT 13.0±2.1,约4年球龄，无规律Plyo史,青春期前后混合,24,PPT(8)/NPPT(8),8,,,,6,2,,,,,,是(CMJA),带臂/CMJA(推断),,,,,,,,,,,,,,,多臂(PPT计划vs非计划Plyo)；CMJA带臂
R04,Palma-Munoz,2018,待查,10.1519/JSC.000000000000XXXX,智利,地区级青年男子篮球运动员,男,CG 14.0±2.0 / PPT 14.6±1.1 / NPPT 13.8±2.0,>4年篮球训练，无Plyo史,混合,22,PPT(7)/NPPT(8),7,,,,6,2,,,,,,是(CMJ),未明示,,,,,,,,,,,,,,,特殊人群(篮球)；数据需确认
R05,Ramirez-Campillo,2014,24149707,10.1519/JSC.0b013e318295ef62,智利/西班牙,高水平中长跑运动员,男女混合,22.1±2.7,国家级/国际级,成年,32,17,15,,,,6,2,,,,,,是(CMJA),带臂/CMJA(推断),,,,,,,,,,,,,,,特殊项目(中长跑)；CMJA带臂
R06,Van Roie,2020,32810152,10.1371/journal.pone.0237921,比利时,社区居住健康老年男性,男,PLYO 69.6±3.3 / WALK 70.5±5.1,无近12月规律力量训练,老年,32,13,14,,,,12,2,,,,,,是(斜台sledge CMJ),未明示,,,,,,,,,,,,,,,老年人群；斜台sledge CMJ非标准自由站立；臂位未明示
R07,Chang,2025,待查,10.1038/s41598-025-09673-w,中国台湾,青年男子赛艇运动员,男,EG 18.2±2.6 / CG 19.1±3.3,区域/国家级资格,青年/成年早期,23,11,12,,,,4,3,,,,,,是(手叉腰无臂),手叉腰无臂,,,,,,,,,,,,,,,严格手叉腰CMJ；4周短周期；赛艇运动员
R08,Asadi,2017,27792040,10.23736/S0022-4707.16.06640-8,伊朗/智利,国家级青年男子篮球运动员,男,18.5±0.8,国家级，Leg Press ≥ 2.5×BW,青年成人,16,8,8,,,,6,2,,,,,,是(CMJA),带臂/CMJA(推断),,,,,,,,,,,,,,,CMJA带臂；篮球国家级
R09,Blazevich,2003,14669938,10.1249/01.MSS.0000099092.83611.20,英国/新西兰/澳,竞技运动员（橄榄球/足球/篮网球）,男女混合,22.1±1.9,竞技水平，≥3月力量训练,成年,23,SQ(8)/FHS(7),SJ(8),,,,0,0,,,,,,是(手叉腰无臂),手叉腰无臂,,,,,,,,,,,,,,,严格手叉腰CMJ；多干预组(SQ/FHS)；对照组SJ做拉伸
R10,Byrne,2010,20613646,10.1519/JSC.0b013e3181e38125,爱尔兰,大学校队学生（多项运动）,男,总体21.0±4.7,大学竞技水平,青年成人,19,MJH(6)/RSI(6),7,,,,0,0,,,,,,是(手叉腰无臂),手叉腰无臂,,,,,,,,,,,,,,,严格手叉腰CMJ；多Plyo组(MJH最大跳高/RSI法)
R11,Sedano Campo,2009,19528837,10.1519/JSC.0b013e3181a38984,西班牙/比利时,西甲女足甲级联赛球员,女,PG 22.8±2.1 / CG 23.0±3.2,西甲一级，5+年球龄,青年/成年早期,20,10,10,,,,0,0,,,,,,是(手叉腰无臂),手叉腰无臂,,,,,,,,,,,,,,,严格手叉腰CMJ；女足西甲
R12,Chelly,2010,,,突尼斯,青年男子足球运动员,男,,,,,,,,,,,,,,,,,是(CMJA),带臂/CMJA(推断),,,,,,,,,,,,,,,CMJA带臂；臂位未明示
R13,Idrizovic,2018,待查,10.1123/jsr.2017-0123,黑山/科索沃/克罗地亚/葡萄牙/斯洛文尼亚,国家级青年女排运动员,女,16.6±0.6,顶级联赛≥5年球龄,青春期后期,47,Plyo(13)/Skill(17),17,Plyo(常规+2次/周Plyo) / Skill(常规+2次/周技能),Control(仅常规排球训练),上下肢Plyo(跳箱/单腿跳/药球抛投等)/排球专项技能,12,2,,,,,,是(CMJA),带臂(明确),,cm,,,,,,,团队随机(Teams randomized),未实施,,否(PP),Table 3,,CMJA明确带臂(模仿排球表现+摆臂)；团队随机非个体随机；多臂(Skill可作为第二对照)；取Plyo vs Control
R14,Jlid,2019,31736978,10.3389/fphys.2019.01462,突尼斯/法国/卡塔尔,青少年男子足球学员,男,EG 11.8±0.4 / CG 11.6±0.5,足球学院，赛季中,青春期前期-中期,28,14,14,EG(常规赛季+MPT多维Plyo),CG(仅常规赛季训练),前向/侧向/后向跳深、栏架跳、立定跳远、交叉步跳（多维Plyo）,6,2,,,,,,是(手叉腰无臂),手叉腰无臂,,cm,6,,,,,,随机分配,,,否(PP),Table,,严格手叉腰CMJ；MPT多维Plyometric训练；青少年男足
